station_name,station_lat,station_lon,nearest_river,nearby_pub_count
Minehead,51.2062859,-3.4678346,River Avill,28
Weymouth,50.6159266,-2.4549096,River Wey,28
Upwey,50.6485094,-2.466093,River Wey,28
Bradford-on-Avon,51.344789,-2.2527549,River Avon,28
Newquay,50.4144421,-5.0751286,Gannel,28
St Erth,50.1705718,-5.4439212,Nance Stream,28
Chippenham,51.4622697,-2.116144,River Avon,28
Exton,50.6680325,-3.4440694,River Clyst,28
Washford,51.1615078,-3.3688908,Washford River,28
Abergavenny,51.8174352,-3.0090126,Afon Gafenni,28
Brading,50.6783048,-1.1386031,River Yar,28
Topsham,50.685645,-3.4637875,River Clyst,26
Hereford,52.0611986,-2.7081221,River Wye,26
Pontlottyn,51.7465332,-3.2793246,Rhymney River,26
Shawford,51.0221625,-1.3277225,River Itchen,26
Stapleton Road,51.467446,-2.5663184,River Frome,26
Tir-Phil,51.7210308,-3.245999,Rhymney River,26
Amnerfield Miniature Railway,51.4191905,-1.0218192,River Kennet,26
Bronwydd Arms,51.8921567,-4.3007353,Afon Gwili,26
Bow Brickhill,52.0042693,-0.6962178,River Ouzel,26
Haddenham and Thame Parkway,51.7709259,-0.9420743,River Thame,26
Llanelli,51.6737797,-4.1610727,Afon Lliedi,26
Quintrell Downs,50.4041228,-5.0288475,Gannel,26
Barnstaple,51.0736094,-4.0630236,River Taw,26
Hayle,50.1855434,-5.4199282,River Hayle,26
Walled Garden Station,51.8388678,-1.3505501,River Glyme,24
Chesham,51.7052231,-0.611116,River Chess,24
Lawrence Hill,51.45858,-2.56417,River Frome,24
Swaythling,50.9411238,-1.3764672,Monks Brook,24
Bournemouth,50.7272094,-1.8641943,River Bourne,24
Cadoxton,51.4122147,-3.2486814,Cadoxton River,24
Llanhilleth,51.7000382,-3.1342108,Ebbw River,24
Sandown,50.6571102,-1.1622454,River Yar,24
Botley,50.9163612,-1.2590525,River Hamble,24
Culham,51.6538921,-1.2365761,River Thames,24
Barry Docks,51.4026036,-3.261156,Cadoxton River,24
Pencoed,51.5239041,-3.501372,Ewenny River,24
Radley,51.6856231,-1.2402569,River Thames,24
Crowthorne,51.3664877,-0.8192585,River Blackwater,24
Watchet,51.180634,-3.3297097,Washford River,24
Totton,50.9176659,-1.4830687,River Test,24
Aber,51.5748662,-3.2298096,Nant yr Aber,24
Rhymney,51.7588286,-3.2895642,Rhymney River,24
Doniford Halt,51.1783525,-3.3115629,Washford River,22
Palace Station,51.8429869,-1.3581865,River Glyme,22
Redbridge,50.9195374,-1.469603,River Test,22
Christchurch,50.7383709,-1.7847306,River Avon,22
Combe,51.8326251,-1.3939977,River Evenlode,22
Pembroke Dock,51.6938827,-4.9375963,Daugleddau,22
Station,50.9553976,-1.3640883,Monks Brook,22
Broomy Hill,52.0491983,-2.7351338,River Wye,22
Ashurst New Forest,50.8898464,-1.5264572,Bartley Water,22
